Class,First Deployment Date,Platform Agent Type,Relative Depth,data_agent_recovery,data_agent_rt,data_product_list,deploy_date,depth_port_max,depth_port_min,depth_subsite,id,instrument_agent_rt,instrument_class,instrument_model,instrument_model1,instrument_series,instrument_subseries,latitude,longitude,makemodel,ready_for_2013
DOSTA,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,~240m below sea surface to 3900m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-08-05 00:00:00,3900,240,4250,GP02HYPM-WF004-03-DOSTAL999,FALSE,DOSTA,DOSTAL,DOSTA,L,01,50.1969,-144.7131,Optode 4330,
CTDMO,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,60m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,60,60,2800,GI03FLMB-RI001-08-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,60.4582,-38.0755,SBE 37IM,
CTDPF,2014-08,Shore CyberPoP - Regional Observatory Management System,Near bottom to 200,FALSE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,2906,200,2906,RS01SBVM-DP01A-01-CTDPFL104,TRUE,CTDPF,CTDPFL,CTDPF,L,01,44.55404,-125.35235,SBE 52MP,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,130m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,130,130,5200,GA03FLMB-RI001-10-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-42.5073,-42.1303,SBE 37IM,
CTDBP,2014-06,Shore CyberPoP - Global Mooring Server,15m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,15,15,2800,GI01SUMO-RI002-02-CTDBPF999,TRUE,CTDBP,CTDBPF,CTDBP,F,01,60.6136,-38.2581,SBE 16plusV2,
CTDMO,2015-01,Shore CyberPoP - Global Mooring Server,40m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,40,40,4800,GS01SUMO-RI003-04-CTDMOQ999,TRUE,CTDMO,CTDMOQ,CTDMO,Q,01,-54.4704,-89.2796,SBE 37IM,
PHSEN,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2020-01-01 00:00:00,40,40,4800,GS03FLMB-RI001-02-PHSENF999,FALSE,PHSEN,PHSENF,PHSEN,F,01,-54.0814,-88.894,SAMI-pH,
CTDGV,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL006-05-CTDGVM999,FALSE,CTDGV,CTDGVM,CTDGV,M,01,,,GPCTD,
CAMDS,2014-05,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""CAMSTIL_L1""]",2020-01-01 00:00:00,78,78,80,CE07SHSM-MF005-02-CAMDSA999,TRUE,CAMDS,CAMDSA,CAMDS,A,01,47,-124.27,Kongsberg (Make/Model TBD),No. Waiver 1303-00956.
PCO2W,2014,Shore CyberPoP - Regional Observatory Management System,2m above bottom,FALSE,FALSE,"[""CO2ABS1_L0"", ""CO2ABS2_L0"", ""CO2THRM_L0"", ""PCO2WAT_L1""]",2020-01-01 00:00:00,78,78,80,CE02SHBP-LJ01D-09-PCO2WB103,TRUE,PCO2W,PCO2WB,PCO2W,B,01,44.64,-124.3,SAMI-pCO2,
METBK,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,~3m above sea surface,TRUE,FALSE,"[""BARPRES_L0"", ""BARPRES_L1"", ""CONDSRF_L0"", ""CONDSRF_L1"", ""FRSHFLX_L2"", ""HEATFLX_L2"", ""LATNFLX_L2"", ""LONGIRR_L0"", ""LONGIRR_L1"", ""MOMMFLX_L2"", ""NETLIRR_L2"", ""NETSIRR_L2"", ""PRECIPM_L0"", ""PRECIPM_L1"", ""RAINFLX_L2"", ""RAINRTE_L2"", ""RELHUMI_L0"", ""RELHUMI_L1"", ""SALSURF_L2"", ""SENSFLX_L2"", ""SHRTIRR_L0"", ""SHRTIRR_L1"", ""SPECHUM_L2"", ""SPHUM2M_L2"", ""TEMPA2M_L2"", ""TEMPAIR_L0"", ""TEMPAIR_L1"", ""TEMPSRF_L0"", ""TEMPSRF_L1"", ""WIND10M_L2"", ""WINDAVG_L0"", ""WINDAVG_L1""]",2020-01-01 00:00:00,-3,-3,80,CE02SHSM-SB001-01-METBKA999,TRUE,METBK,METBKA,METBK,A,01,44.64,-124.3,ASIMET,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,60m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,60,60,5200,GA03FLMA-RI001-08-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-42.5073,-42.8905,SBE 37IM,
FLORT,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2013-08-05 00:00:00,40,40,4250,GP03FLMB-RI001-01-FLORTD999,FALSE,FLORT,FLORTD,FLORT,D,01,50.125,-144.2097,ECO Triplet-w,
CTDPF,2014-07,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,78,0,80,CE02SHSP-SP001-01-CTDPF0999,FALSE,CTDPF,CTDPF0,CTDPF,0,01,44.64,-124.3,,
PCO2W,2013-10,Shore CyberPoP - Coastal Mooring Server,5m below sea surface,TRUE,TRUE,"[""CO2ABS1_L0"", ""CO2ABS2_L0"", ""CO2THRM_L0"", ""PCO2WAT_L1""]",2013-10-25 00:00:00,5,5,25,CE01ISSM-RI002-05-PCO2WB999,FALSE,PCO2W,PCO2WB,PCO2W,B,01,44.65,-124.1,SAMI-pCO2,
CTDMO,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,500m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-08-05 00:00:00,500,500,4250,GP03FLMA-RI001-14-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,50.4676,-144.5174,SBE 37IM,
PRESF,2013-10,Shore CyberPoP - Coastal Mooring Server,2m above the bottom,TRUE,TRUE,"[""SFLPRES_L1""]",2013-10-25 00:00:00,23,23,25,CE01ISSM-MF005-04-PRESFA999,FALSE,PRESF,PRESFA,PRESF,A,01,44.65,-124.1,SBE 26plus,
METBK,2015-01,Shore CyberPoP - Global Mooring Server,~3m above sea surface,TRUE,FALSE,"[""BARPRES_L0"", ""BARPRES_L1"", ""CONDSRF_L0"", ""CONDSRF_L1"", ""FRSHFLX_L2"", ""HEATFLX_L2"", ""LATNFLX_L2"", ""LONGIRR_L0"", ""LONGIRR_L1"", ""MOMMFLX_L2"", ""NETLIRR_L2"", ""NETSIRR_L2"", ""PRECIPM_L0"", ""PRECIPM_L1"", ""RAINFLX_L2"", ""RAINRTE_L2"", ""RELHUMI_L0"", ""RELHUMI_L1"", ""SALSURF_L2"", ""SENSFLX_L2"", ""SHRTIRR_L0"", ""SHRTIRR_L1"", ""SPECHUM_L2"", ""SPHUM2M_L2"", ""TEMPA2M_L2"", ""TEMPAIR_L0"", ""TEMPAIR_L1"", ""TEMPSRF_L0"", ""TEMPSRF_L1"", ""WIND10M_L2"", ""WINDAVG_L0"", ""WINDAVG_L1""]",2020-01-01 00:00:00,-3,-3,5200,GA01SUMO-SB001-02-METBKA999,TRUE,METBK,METBKA,METBK,A,01,-42.9906,-42.5104,ASIMET,
CTDBP,2013-09,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-11-22 00:00:00,133,133,210,CP01CNSM-MF005-02-CTDBPD999,TRUE,CTDBP,CTDBPD,CTDBP,D,01,40.03333333,-70.79166667,SBE 16plusV2,
CTDPF,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,Sea Surface to 150m,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,150,0,4800,GS02HYPM-SP001-04-CTDPF0999,FALSE,CTDPF,CTDPF0,CTDPF,0,01,-54.4068,-89.2796,,
CTDMO,2014-06,Shore CyberPoP - Global Mooring Server,250m below sea surface,TRUE,FALSE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,250,250,2800,GI01SUMO-RI003-09-CTDMOQ999,TRUE,CTDMO,CTDMOQ,CTDMO,Q,01,60.6136,-38.2581,SBE 37IM,
CTDMO,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,90m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-08-05 00:00:00,90,90,4250,GP03FLMB-RI001-09-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,50.125,-144.2097,SBE 37IM,
OBSSP,2013-08,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""SGRDVEL_L1""]",2013-07-16 00:00:00,,,1552,RS03ASHS-MJ03B-06-OBSSPA305,TRUE,OBSSP,OBSSPA,OBSSP,A,01,45.93619,-130.01417,Guralp (Make/Model TBD),
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,750m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,750,750,4800,GS03FLMA-RI001-15-CTDMOH999,FALSE,CTDMO,CTDMOH,CTDMO,H,01,-54.0814,-89.6652,SBE 37IM,
SPKIR,2014-09,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""OPTATTS_L2"", ""SPECTIR_L0"", ""SPECTIR_L1""]",2020-01-01 00:00:00,91.5,0,130,CP03ISSP-SP001-07-SPKIR0999,FALSE,SPKIR,SPKIR0,SPKIR,0,01,40.16666667,-70.79166667,,
CAMDS,2014,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""CAMSTIL_L1""]",2020-01-01 00:00:00,,,811,RS01SUM2-MJ01B-08-CAMDSB103,TRUE,CAMDS,CAMDSB,CAMDS,B,01,44.57,-125.147,Kongsberg (Make/Model TBD),Maybe
FLORD,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,Sea surface to 1000m,TRUE,TRUE,"[""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2020-01-01 00:00:00,1000,0,,GI05MOAS-GL002-01-FLORDM999,FALSE,FLORD,FLORDM,FLORD,M,01,,,ECO Triplet,
DOSTA,2014-08,Shore CyberPoP - Regional Observatory Management System,,FALSE,FALSE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2020-01-01 00:00:00,,,500,CE04OSHY-PC01B-4A-DOSTAD109,TRUE,DOSTA,DOSTAD,DOSTA,D,01,44.65,-124.9,Optode 4831,
DOSTA,2013-09,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-11-22 00:00:00,5,5,210,CP01CNSM-RI003-02-DOSTAD999,TRUE,DOSTA,DOSTAD,DOSTA,D,01,40.03333333,-70.79166667,Optode 4831,
VELPT,2014-06,Shore CyberPoP - Global Mooring Server,15m below sea surface,TRUE,FALSE,"[""VELPTMN_L1""]",2020-01-01 00:00:00,15,15,2800,GI01SUMO-RI002-05-VELPTA999,TRUE,VELPT,VELPTA,VELPT,A,01,60.6136,-38.2581,Aquadopp 300m,
VELPT,2014-09,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""VELPTMN_L1""]",2020-01-01 00:00:00,448,448,520,CP04OSSM-MF004-03-VELPTB999,TRUE,VELPT,VELPTB,VELPT,B,01,39.91666667,-70.79166667,Aquadopp 3000m,
DOSTA,2013-10,Shore CyberPoP - Coastal Glider Dock Server,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2013-10-25 00:00:00,1000,0,,CE05MOAS-GL002-04-DOSTAM999,FALSE,DOSTA,DOSTAM,DOSTA,M,01,,,Optode 4831,
PHSEN,2014-05,Shore CyberPoP - Coastal Mooring Server,2m above bottom,TRUE,TRUE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2020-01-01 00:00:00,23,23,25,CE06ISSM-MF004-02-PHSEND999,FALSE,PHSEN,PHSEND,PHSEN,D,01,47,-124.162,SAMI-pH,
PARAD,2013-09,Shore CyberPoP - Coastal Mooring Server,15m below sea surface to near bottom,TRUE,TRUE,"[""OPTPARW_L0"", ""OPTPARW_L1""]",2013-11-22 00:00:00,125,15,140,CP02PMCI-WF001-05-PARAD0999,FALSE,PARAD,PARAD0,PARAD,0,01,40.1,-70.79166667,,
ADCPA,,,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2013-11-22 00:00:00,1000,0,,CP05MOAS-GL002-01-ADCPAM999,FALSE,ADCPA,ADCPAM,ADCPA,M,01,,,Explorer DVL 600 kHz,
CTDMO,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,60m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,60,60,4800,GS03FLMB-RI001-08-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,-54.0814,-88.894,SBE 37IM,
SPKIR,2014-07,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""OPTATTS_L2"", ""SPECTIR_L0"", ""SPECTIR_L1""]",2020-01-01 00:00:00,78,0,80,CE02SHSP-SP001-06-SPKIR0999,FALSE,SPKIR,SPKIR0,SPKIR,0,01,44.64,-124.3,,
ADCPS,2013-08,Shore CyberPoP - Open Ocean Glider Dock Server,"Mounted at 500m, uplooking",TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2013-08-05 00:00:00,500,500,4250,GP03FLMB-RI001-04-ADCPSL999,FALSE,ADCPS,ADCPSL,ADCPS,L,01,50.125,-144.2097,WorkHorse LongRanger Sentinel 75khz,
CTDMO,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,130m below sea surface,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,130,130,2800,GI03FLMB-RI001-10-CTDMOG999,FALSE,CTDMO,CTDMOG,CTDMO,G,01,60.4582,-38.0755,SBE 37IM,
CTDGV,,,Sea surface to near seafloor or <= 1000m,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2013-11-22 00:00:00,1000,0,,CP05MOAS-GL001-03-CTDGVM999,FALSE,CTDGV,CTDGVM,CTDGV,M,01,,,GPCTD,
VEL3D,2014-05,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""VELPTTU_L0"", ""VELPTTU_L1""]",2020-01-01 00:00:00,23,0,25,CE06ISSP-SP001-05-VEL3D0999,FALSE,VEL3D,VEL3D0,VEL3D,0,01,47,-124.162,,
DOSTA,2015-01,Shore CyberPoP - Open Ocean Glider Dock Server,40m below sea surface,TRUE,TRUE,"[""DOCONCS_L0"", ""DOCONCS_L2""]",2020-01-01 00:00:00,40,40,5200,GA03FLMA-RI001-03-DOSTAD999,FALSE,DOSTA,DOSTAD,DOSTA,D,01,-42.5073,-42.8905,Optode 4831,
PCO2A,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,Sea Surface,TRUE,FALSE,"[""CO2FLUX_L2"", ""PCO2ATM_L1"", ""PCO2SSW_L1"", ""PRESAIR_L0"", ""XCO2ATM_L0"", ""XCO2SSW_L0""]",2020-01-01 00:00:00,0,0,80,CE02SHSM-SB001-03-PCO2AA999,TRUE,PCO2A,PCO2AA,PCO2A,A,01,44.64,-124.3,pCO2-pro,
FLORT,2013-09,Shore CyberPoP - Coastal Mooring Server,15m below sea surface to near bottom,TRUE,TRUE,"[""CDOMFLO_L0"", ""CDOMFLO_L1"", ""CHLAFLO_L0"", ""CHLAFLO_L1"", ""FLUBSCT_L0"", ""FLUBSCT_L1""]",2013-11-22 00:00:00,150,15,360,CP02PMCO-WF001-04-FLORTK999,FALSE,FLORT,FLORTK,FLORT,K,01,39.975,-70.79166667,ECO Triplet,
SPKIR,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,5m below sea surface,TRUE,FALSE,"[""OPTATTS_L2"", ""SPECTIR_L0"", ""SPECTIR_L1""]",2020-01-01 00:00:00,5,5,500,CE04OSSM-RI003-04-SPKIRB999,TRUE,SPKIR,SPKIRB,SPKIR,B,01,44.65,-124.9,OCR507 ICSW,
OPTAA,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,2m above bottom,TRUE,FALSE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2020-01-01 00:00:00,498,498,500,CE09OSSM-MF004-02-OPTAAC999,TRUE,OPTAA,OPTAAC,OPTAA,C,01,46.91,-124.95,AC-S Deep,
ADCPS,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,"Mounted at 500m, uplooking",TRUE,TRUE,"[""ECHOINT_L0"", ""ECHOINT_L1"", ""VELPROF_L0"", ""VELPROF_L1""]",2020-01-01 00:00:00,500,500,2800,GI03FLMB-RI001-04-ADCPSL999,FALSE,ADCPS,ADCPSL,ADCPS,L,01,60.4582,-38.0755,WorkHorse LongRanger Sentinel 75khz,
OPTAA,2014-06,Shore CyberPoP - Open Ocean Glider Dock Server,Sea Surface to 150m,TRUE,TRUE,"[""OPTABSN_L2"", ""OPTATTN_L2"", ""OPTCREF_L0"", ""OPTCSIG_L0"", ""OPTTEMP_L0""]",2020-01-01 00:00:00,150,0,2800,GI02HYPM-SP001-05-OPTAA0999,FALSE,OPTAA,OPTAA0,OPTAA,0,01,60.5732,-38.2581,,
CTDPF,2014-09,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""CONDWAT_L0"", ""CONDWAT_L1"", ""DENSITY_L2"", ""PRACSAL_L2"", ""PRESWAT_L0"", ""PRESWAT_L1"", ""TEMPWAT_L0"", ""TEMPWAT_L1""]",2020-01-01 00:00:00,133,0,210,CP01CNSP-SP001-08-CTDPF0999,FALSE,CTDPF,CTDPF0,CTDPF,0,01,40.03333333,-70.79166667,,
PHSEN,2014-09,Shore CyberPoP - Coastal Mooring Server,2m above bottom,TRUE,FALSE,"[""ABSTHRM_L0"", ""PH434SI_L0"", ""PH578SI_L0"", ""PHWATER_L1""]",2020-01-01 00:00:00,89.5,89.5,130,CP03ISSM-MF004-05-PHSEND999,TRUE,PHSEN,PHSEND,PHSEN,D,01,40.16666667,-70.79166667,SAMI-pH,
VEL3D,2014-09,Shore CyberPoP - Coastal Mooring Server,Sea surface to 2m above bottom,TRUE,TRUE,"[""VELPTTU_L0"", ""VELPTTU_L1""]",2020-01-01 00:00:00,91.5,0,130,CP03ISSP-SP001-05-VEL3D0999,FALSE,VEL3D,VEL3D0,VEL3D,0,01,40.16666667,-70.79166667,,
